#Transcript_ID	GFF_annotation	HHPred_annotation
Smp_000020.1	Protein O-GlcNAcase	Ogoga, hyaluronoglucosaminidase
Smp_000030.1	26S proteasome non-ATPase regulatory subunit 2	26S proteasome regulatory subunit RPN1
Smp_000030.2	26S proteasome regulatory subunit RPN1	26S proteasome regulatory subunit RPN1
Smp_000030.3	26S proteasome regulatory subunit RPN1	26S proteasome regulatory subunit RPN1
Smp_000040.1	Kinesin light chain	KLC 1, kinesin light chain 1
Smp_000040.2	Kinesin light chain	KLC 1, kinesin light chain 1
Smp_000050.1	Transient receptor potential cation channel subfamily M member 2	Transient receptor potential cation channel subfa member 1
Smp_000050.2	Transient receptor potential cation channel subfamily M member 2	Transient receptor potential cation channel subfa member 1
Smp_000070.1	1-acyl-sn-glycerol-3-phosphate o-acyltransferase	Glycerol-3-phosphate acyltransferase
Smp_000075.1	Homeobox protein Nkx-2.3	Transcription factor 8
Smp_000080.1	BET1-like protein	Syntaxin-1A
Smp_000100.1	Actin-binding/filamin-like protein	Filamin-B
Smp_000100.2	Filamin-A	Filamin-B
Smp_000100.3	Filamin-A	Filamin-B
Smp_000100.4	Filamin-A	Filamin-B
Smp_000100.5	Filamin-A	Filamin-B
Smp_000100.6	Filamin-B	Filamin-B
Smp_000110.1	Elongation factor-like GTPase 1	EF-2, elongation factor 2
Smp_000130.1	Hormone-sensitive lipase	Carboxylesterase
Smp_000150.1	PHD finger protein 10	Zinc finger protein DPF3
Smp_000160.1	Amphoterin-induced protein 3	Leucine-rich repeat-containing protein 4C
Smp_000180.1	Kv channel-interacting protein 1	Calsenilin
Smp_000190.1	Short-chain dehydrogenase/reductase family 16C member 6	17-beta-hydroxysteroid dehydrogenase type XI
Smp_000200.1	NEDD4-binding protein 2-like 2	NEDD4-binding protein 2
Smp_000230.1	Zinc finger X-chromosomal protein (Fragment)	Zinc finger protein ZIC 3
Smp_000240.1	TATA-binding protein-associated factor 2N	RNA-binding protein EWS
Smp_000250.1	Phosphogluconate dehydratase	MNME, tRNA modification GTPase TRME
Smp_000260.1	Prosaposin	Proactivator polypeptide
Smp_000270.1	Female-specific protein 800	H/ACA ribonucleoprotein complex subunit 4
Smp_000280.1	Female-specific protein 800	Cytochrome C quinol dehydrogenase NRFH
Smp_000300.1	WD repeat-containing protein 19	Coatomer beta'-subunit
